date,year,month,city,mean_radiance,total_radiance,std_radiance,max_radiance,pixel_count
2014-01-01,2014,1,Abidjan,2.8866709458156903,32469.68232855073,9.002313271744708,408.595947265625,11473
2014-02-01,2014,2,Abidjan,2.791490714737422,31399.08165217328,6.9525915829355975,189.1629638671875,11473
2014-03-01,2014,3,Abidjan,3.257449439710405,36640.25117307762,8.079227411272031,137.79861450195312,11473
2014-04-01,2014,4,Abidjan,3.314839785934502,37285.785889572784,8.898615395002723,252.4123077392578,11473
2014-05-01,2014,5,Abidjan,3.0193325428054334,33961.87870018741,8.165950130982283,180.64361572265625,11473
2014-06-01,2014,6,Abidjan,2.6023901484901555,29272.051786473497,6.810335742883102,145.38768005371094,11473
2014-07-01,2014,7,Abidjan,2.079343930278868,23388.754082213898,4.6161764006871255,85.9406509399414,11473
2014-08-01,2014,8,Abidjan,2.457377522564757,27640.9292976939,5.100120326673384,66.3464126586914,11473
2014-09-01,2014,9,Abidjan,2.996283581111009,33702.62072507746,7.104992443579563,123.23221588134766,11473
2014-10-01,2014,10,Abidjan,3.1232416216800676,35130.66268888631,7.759697347090134,87.43065643310547,11473
2014-11-01,2014,11,Abidjan,3.166973022936885,35622.55966406787,7.631475714344144,75.98040008544922,11473
2014-12-01,2014,12,Abidjan,3.105456678858248,34930.61514121103,7.792853129603505,148.07220458984375,11473
2015-01-01,2015,1,Abidjan,3.132200809161171,35231.43689450023,7.28027436280263,114.94100189208984,11473
2015-02-01,2015,2,Abidjan,3.7698376318337647,42403.6658952377,9.71608952475175,284.6581726074219,11473
2015-03-01,2015,3,Abidjan,3.5793063164889416,40260.54276170049,8.12963849250491,89.91549682617188,11473
2015-04-01,2015,4,Abidjan,3.4923665497713983,39282.631991812144,7.747694813751037,87.4763412475586,11473
2015-05-01,2015,5,Abidjan,3.6928011268534444,41537.148411477174,9.353583216796535,119.25455474853516,11473
2015-06-01,2015,6,Abidjan,2.6949691975495673,30313.394000277156,6.102145071079779,118.26116943359375,11473
2015-07-01,2015,7,Abidjan,3.032281299882705,34107.52814785238,7.254960869170671,107.34102630615234,11473
2015-08-01,2015,8,Abidjan,2.54478230045996,28624.0705789572,6.256811947518743,139.07225036621094,11473
2015-09-01,2015,9,Abidjan,3.101316098619948,34884.04131013812,6.515481347368033,84.236083984375,11473
2015-10-01,2015,10,Abidjan,3.3565994611208465,37755.504611552344,7.3954905944432365,70.61959838867188,11473
