date,year,month,city,mean_radiance,total_radiance,max_radiance
2014-01-01,2014,1,Abidjan,2.8866709458156903,32469.68232855073,408.595947265625
2014-02-01,2014,2,Abidjan,2.791490714737422,31399.08165217328,189.1629638671875
2014-03-01,2014,3,Abidjan,3.257449439710405,36640.25117307762,137.79861450195312
2014-04-01,2014,4,Abidjan,3.314839785934502,37285.785889572784,252.4123077392578
2014-05-01,2014,5,Abidjan,3.0193325428054334,33961.87870018741,180.64361572265625
2014-06-01,2014,6,Abidjan,2.6023901484901555,29272.051786473497,145.38768005371094
2014-07-01,2014,7,Abidjan,2.079343930278868,23388.754082213898,85.9406509399414
2014-08-01,2014,8,Abidjan,2.457377522564757,27640.9292976939,66.3464126586914
2014-09-01,2014,9,Abidjan,2.996283581111009,33702.62072507746,123.23221588134766
2014-10-01,2014,10,Abidjan,3.1232416216800676,35130.66268888631,87.43065643310547
2014-11-01,2014,11,Abidjan,3.166973022936885,35622.55966406787,75.98040008544922
2014-12-01,2014,12,Abidjan,3.105456678858248,34930.61514121103,148.07220458984375
2015-01-01,2015,1,Abidjan,3.132200809161171,35231.43689450023,114.94100189208984
2015-02-01,2015,2,Abidjan,3.7698376318337647,42403.6658952377,284.6581726074219
2015-03-01,2015,3,Abidjan,3.5793063164889416,40260.54276170049,89.91549682617188
2015-04-01,2015,4,Abidjan,3.4923665497713983,39282.631991812144,87.4763412475586
2015-05-01,2015,5,Abidjan,3.6928011268534444,41537.148411477174,119.25455474853516
2015-06-01,2015,6,Abidjan,2.6949691975495673,30313.394000277156,118.26116943359375
2015-07-01,2015,7,Abidjan,3.032281299882705,34107.52814785238,107.34102630615234
2015-08-01,2015,8,Abidjan,2.54478230045996,28624.0705789572,139.07225036621094
2015-09-01,2015,9,Abidjan,3.101316098619948,34884.04131013812,84.236083984375
2015-10-01,2015,10,Abidjan,3.3565994611208465,37755.504611552344,70.61959838867188
2015-11-01,2015,11,Abidjan,3.471454276321216,39047.40778772354,87.01904296875
2015-12-01,2015,12,Abidjan,3.0913469920588827,34771.90739213598,80.16317749023438
2016-01-01,2016,1,Abidjan,3.140213433343268,35321.56402249446,114.66667175292969
2016-02-01,2016,2,Abidjan,3.1152118511053404,35040.34269584711,104.7831039428711
2016-03-01,2016,3,Abidjan,3.5733969698537824,40194.07359648752,170.682373046875
2016-04-01,2016,4,Abidjan,3.8081388987502724,42834.483952752256,209.8199005126953
2016-05-01,2016,5,Abidjan,4.081225852836519,45906.2045657667,172.09002685546875
2016-06-01,2016,6,Abidjan,3.556260423898368,40001.319308303944,92.3910140991211
2016-07-01,2016,7,Abidjan,3.5477053831975605,39905.091002730805,91.5577621459961
2016-08-01,2016,8,Abidjan,3.2125234151220496,36134.91690601021,81.4997787475586
2016-09-01,2016,9,Abidjan,2.9026568826046786,32649.494402391407,98.8172836303711
2016-10-01,2016,10,Abidjan,3.673243459520271,41317.161008231196,133.07278442382812
2016-11-01,2016,11,Abidjan,3.692134805937847,41529.6535397497,603.4137573242188
2016-12-01,2016,12,Abidjan,3.3602445943031,37796.505584193364,156.58482360839844
2017-01-01,2017,1,Abidjan,3.451536203590555,38823.366493685855,103.7780532836914
2017-02-01,2017,2,Abidjan,3.675097016995623,41338.010084392656,72.71883392333984
2017-03-01,2017,3,Abidjan,3.580521156780275,40274.20745680427,84.84680938720703
2017-04-01,2017,4,Abidjan,4.461907525635544,50188.16576470511,98.29486083984375
2017-05-01,2017,5,Abidjan,4.106396630534097,46189.32902683061,110.38666534423828
2017-06-01,2017,6,Abidjan,4.029426896441844,45323.56259144555,95.10678100585938
2017-07-01,2017,7,Abidjan,3.6429330278041143,40976.22499316809,76.72360229492188
2017-08-01,2017,8,Abidjan,3.6067202785181367,40568.89887681128,80.23938751220703
2017-09-01,2017,9,Abidjan,3.3720010558436906,37928.74392333768,65.63313293457031
2017-10-01,2017,10,Abidjan,4.270997265932762,48040.780211531564,159.94000244140625
2017-11-01,2017,11,Abidjan,4.299350704160728,48359.70368755806,275.2799987792969
2017-12-01,2017,12,Abidjan,3.8116005022000894,42873.420557052756,161.0500030517578
2018-01-01,2018,1,Abidjan,3.803466248021363,42781.92531768514,80.79000091552734
2018-02-01,2018,2,Abidjan,3.991807708828802,44900.41665822992,138.8800048828125
2018-03-01,2018,3,Abidjan,4.72967726594524,53200.07760649543,193.17999267578125
2018-04-01,2018,4,Abidjan,4.946587069896011,55639.909703894264,148.25999450683594
2018-05-01,2018,5,Abidjan,4.482857601026777,50423.8151703634,77.0
2018-06-01,2018,6,Abidjan,4.18517288366357,47075.415443384314,86.41000366210938
2018-07-01,2018,7,Abidjan,3.399795037866561,38241.37455698721,138.8800048828125
2018-08-01,2018,8,Abidjan,4.508217514408184,50709.067056300526,113.5
2018-09-01,2018,9,Abidjan,3.5829115249175563,40301.09465507615,59.56999969482422
2018-10-01,2018,10,Abidjan,4.23851940117408,47675.46460361558,224.77000427246094
2018-11-01,2018,11,Abidjan,4.419955761205948,49716.286395798976,81.5
2018-12-01,2018,12,Abidjan,4.056465172925902,45627.69294250668,74.44000244140625
2019-01-01,2019,1,Abidjan,3.7112331801058285,41744.474748632216,73.41999816894531
2019-02-01,2019,2,Abidjan,4.183528815183471,47056.92272901636,82.13999938964844
2019-03-01,2019,3,Abidjan,4.5841197553803985,51562.82617836649,121.9800033569336
2019-04-01,2019,4,Abidjan,4.7493367077726365,53421.2097836206,107.44999694824219
2019-05-01,2019,5,Abidjan,4.691216458348287,52767.46501288383,157.75
2019-06-01,2019,6,Abidjan,4.185802011155448,47082.491958230945,84.75
